Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7mvROiEG0HHHKKWUuUTt5p,"623ecFS6T9xsx9Rb98eii5","Randomized","Speicher 120","Marc Romboy",2022-04-29,447733,19,spotify:user:groovebassment,2022-05-08T16:16:16Z,"german house,german techno,microhouse,minimal techno,tech house",0.712,0.974,1,-8.045,0,0.0594,0.0164,0.88,0.11,0.0314,125.002,4
70UgBi1fccDZFa6HsBdLx9,"2e9kCl7laD7bkZLLAnkKTU","Magic - Original Mix","Magic","The Archer",2022-07-29,256000,37,spotify:user:groovebassment,2022-08-04T22:26:34Z,"",0.844,0.469,2,-9.625,1,0.0428,0.00908,0.727,0.0924,0.265,130.015,4
73Szmmh8dQduG1jPY12zK8,"0oO1IaDOBSeI96HbnCa5pZ","Riser","Riser","Solardo",2022-02-18,202023,41,spotify:user:groovebassment,2022-05-08T16:16:16Z,"deep groove house,house,pop dance,uk dance",0.657,0.87,11,-8.03,0,0.0589,0.000326,0.719,0.0976,0.425,126.009,4
4BMSdTDiBeMKtHkBlDo5yQ,"3y6m7PFPkbSjKSxWlAvZDG","EVA","EVA","Earl & Majors",2022-05-13,333230,8,spotify:user:groovebassment,2022-05-16T13:42:37Z,"",0.697,0.844,2,-14.163,1,0.0411,0.00394,0.879,0.133,0.0339,131.994,4
3Om79lJL4AYUDlM8065Zjq,"4Wxrposn6r7Yi6EJAh8Nwc","Chromatin","Chromatin","Lee Roy Mon'do",2022-06-17,338709,28,spotify:user:groovebassment,2022-08-27T00:13:01Z,"",0.607,0.887,11,-8.77,1,0.0433,0.000222,0.831,0.182,0.0652,123.994,4
3hM0LygF3ZoYlCmK6O1Vzr,"1H2DxHEli0yujifO4rvO8k","Underdog","Technology","DEEPFAKE",2022-05-27,302750,15,spotify:user:groovebassment,2022-06-03T13:10:58Z,"",0.639,0.952,2,-6.799,1,0.0563,0.0101,0.83,0.0805,0.298,130.004,4
5yTgdspa9ITHZHMjSVO4Nt,"6FXKS5R7VtpGugMIrd7727","Nightcrawl","Nightcrawl","haks",2022-05-23,220952,28,spotify:user:groovebassment,2022-05-25T21:21:55Z,"",0.592,0.929,1,-8.476,1,0.0392,0.000562,0.856,0.493,0.0325,125.997,4
6DknZAV4PPV3wjJB19rxee,"6ZVE67lbZ6NuuYGGr3Z9Ps","Home","Home","VØ",2022-06-24,379733,39,spotify:user:groovebassment,2022-07-02T12:05:37Z,"",0.743,0.742,10,-7.277,0,0.0407,0.037,0.594,0.0784,0.455,122.012,4
1yueFbdlYuPIB4fbBRKf90,"5qDGSxaXhV70uArLcGFhk1","Mothership","Mothership","Luis M",2022-04-22,459007,19,spotify:user:groovebassment,2022-05-08T16:16:16Z,"psytech,zenonesque",0.769,0.644,1,-9.605,0,0.0801,0.0137,0.871,0.162,0.0394,126.991,4
0ELTPb4I9ijYAIszHMcnEZ,"6KBbbE4QVlVQwFNIXrD8hF","I Wanna Go Back","I Wanna Go Back","Uto Karem",2022-04-22,375338,12,spotify:user:groovebassment,2022-05-08T16:16:16Z,"deep minimal techno,minimal techno,tech house",0.719,0.942,4,-7.292,0,0.055,0.000974,0.912,0.111,0.0298,132.998,4
5sckrjVr6wFIaPbkrPqHe0,"6DQLkRykAsF6paJnlIMX4H,00IUMN7pWAU2jYWcdOt5c3","Balls Back - Marco Faraone Remix","Balls Back","Josh Wink,Marco Faraone",2022-04-15,391730,25,spotify:user:groovebassment,2022-05-08T16:16:16Z,"minimal techno,techno,dark techno,italian techno",0.798,0.86,11,-8.608,0,0.0785,0.0201,0.886,0.0616,0.0427,129.995,4
7l8T90bx7vHXgReTuCEJwk,"2r8uP2smU2xmLqLM99hXbv,4puCZElml9BwUDjZYDMqDr","Cryptography","Cryptography","Shadowmaw,Bultech",2022-04-08,390000,29,spotify:user:groovebassment,2022-05-08T16:16:16Z,"",0.857,0.726,10,-8.581,0,0.051,0.0648,0.893,0.0821,0.1,128.012,4
0mumq1lX0E4f0E4xtKIlmT,"0kolce4lQQT3kf9QJmEuMX,3XTXJ0qA1B0EZxqdPcISv2","Acid","Acid","Gaga,Mateo!",2022-04-30,384558,17,spotify:user:groovebassment,2022-05-08T16:16:16Z,"dark techno",0.791,0.578,9,-7.743,1,0.0709,0.00305,0.899,0.0967,0.132,128.011,4
